,company,location,main_sector,subsector,primary,description
1039,PhysicalTech,"Barcelona, Barcelona",Digital Health,E-Medical Record / E-health Record,,"Physicaltech specializes in the analysis of posture and movement. The company have designed the system posture ADiBAS clinical diagnosis, which allows automatically analyze 3D posture. The technology platform uses depth maps obtained from Kinect ™ camera. The data provided by the software determine the distances and angles according to user requirements. PhysicalTech is a spin-off of Universitat de Barcelona (UB)."
1040,Picking Farma,"PARETS DEL VALLES, Barcelona",Supplier &amp; Engineering,Other; Distributors,,"Picking Farma is a pharmaceutical Logistics and distribution Operator providing logistic solutions for companies in the pharmaceutical, veterinary and cosmetic sectors."
1041,Piece of pie,"Barcelona, Barcelona",Professional Services and Consulting,Management consulting,,A Piece of Pie is a consultancy firm.The company work collaboratively with global companies and institutions in pinpointing new opportunities for growth.
1042,Pierre Fabre Ibérica,"Barcelona, Barcelona",Pharma,Other,"Cardiovascular; Digestive system; Genitourinary system; Infectious and parasitic diseases; Mental and behavioural disorders; Musculoskeletal system,connective tissue; Neoplasms / cancer / oncology; Other symptoms,deviant clinical findings","Pierre Fabre produces medications and treatments for lung cancer, osteoporosis, prostate disease, gingivitis, hair and skin care, among other things. The company's products include Diafusor, Optrex,  Antalnox, etc."
1043,Pivotal,"Barcelona, Barcelona",Biotechnology / R&amp;D Services,CRO (Contract Research Organization),,"PIVOTAL is a CRO (Contract Research Organization) and a medical-pharmaceutical consultancy group, specialized and structured by the following therapeutic areas: oncology, cardiovascular, endocrinology, internal medicine, infectious diseases, psychiatry, neurology and immune diseases. The company's mission is to help their clients bring to patients innovative therapies that can transform their lives."
1044,Plantas Medicinales de Cataluña (PLAMECA),"Hospitalet de Llobregat, Barcelona",Biotechnology - other,Nutraceuticals,,"Plantas Medicinales y Complementos Alimenticios, S.A. (PLAMECA) is a company, which produces and sells dietetic products, food supplements and medicinal plants."
1045,Plasmia Biotech,"Mollet del Vallès, Barcelona",Biotechnology / R&amp;D Services,Other; Synthesis services,Neoplasms / cancer / oncology,"Plasmia Biotech is a biotechnology company for the synthesis of antiretroviral and anti-tumor products. The company's technology is based on the discovery of enzymes, obtained from extremophile bacteria, which catalyze reactions that allow the synthesis of antiretroviral and anti-tumor molecules in a single process."
1046,Play Benefit,"Barcelona, Barcelona",Digital Health,Mobile Fitness / Health Apps; Patient Engagement,,PlayBenefit is a company that develops digital products for third parties as well its own. The company uses an engagement design to create experiences that drive the user into changing habits.
1047,Point Pressure,"Sant Cugat del Vallès, Barcelona",Medical Technology,Electro mechanical medical devices,"Musculoskeletal system, connective tissue",Point Pressure is developing a medical device to help patients with chronic diseases or conditions experiencing spasticity through a non-invasive physical treatment. The main aim of the instrument is to treat spasticity symptoms resulting in a wider motion of the affected limbs.
1048,Polichem,"Reus, Tarragona",Supplier &amp; Engineering,Distributors,,"Polichem LaboratoriosU. focuses on the veterinary sector, manufacturing and marketing animal nutrition and health products. The company's product portfolio includes pharmaceutical products, nutritional supplements and a wide range of additives, with specific solutions for different animal species."
1049,Pons Intellectual Property (Pons IP),"Barcelona, Barcelona",Professional Services and Consulting,Due diligence; Legal services; Management consulting; Patents &amp; Trademarks; Technology transfer,,"PONS IP is an IP firm offering comprehensive IP services in Spain, Europe and Latin America. The firm is enagaged in defining strategies, creating, managing and defending IP rights."
1050,Potmath,"Terrassa, Barcelona",Digital Health,Mobile Fitness / Health Apps,,"Nuestro objetivo es ayudar a niños con problemas de aprendizaje como son la velocidad lectora, la lateralidad cruzada, la dislexia, la discalculia, el déficit de atención (TDA), el déficit de atención con hiperactividad (TDHA), funciones ejecutivas de atención, la memoria etc..., mediante aplicaciones tecnológicas."
1051,Pragmatic Diagnostics,"BELLATERRA, Barcelona",Biotechnology / R&amp;D Services,Diagnostic instrumentation,,Pragmatic Diagnostics's mission is to help life science companies develop new assays where immunometric technologies are integrated with analytical platforms. The company is active in the development of immunoassay reagents.
1052,Pranarom,"Barcelona, Barcelona",Biotechnology - other,Nutraceuticals,,"Pranarôm has evolved into one of the leading companies in the segment of scientific aromatherapy, which is the use of essential oils (volatile oils extracted from plants) for therapeutic purposes."
1053,Prasfarma,"CERDANYOLA DEL VALLES, Barcelona",Biotechnology / R&amp;D Services,Other; Analytical services; CMO (Contract Manufacturing Organization),,"Prasfarma manufactures products in different dosage forms such as injectables in solution or lyophilized and solid forms like film coated tablets, hard gelatine capsules, lozenges and sachets."
1054,Predictheon Medical,"Barcelona, Barcelona",Digital Health,Predictive Analytics,Cardiovascular; Respiratory,"Predictheon is a spin-off of Hospital Clínic de Barcelona. Predictheon is a predictive mathematical models based on the intensive analysis of large quantities of clinical data.The proposed individualized monitoring system provides the clinician with real-time predictive information about sedative state, respiratory, and cognitive effects of the sedative-analgesic drugs administered. Predictions are based on mathematical models of drug effects estimated from prior data collected in patients."
1055,Prima-Derm,"GAVA, Barcelona",Biotechnology - other,Cosmetics,,"Prima-Derm is a manufacturer and distributor of cosmetics based on genomic and molecular cosmetic principles, following pharmaceutical procedures. From the Prima-Derm laboratories there are three brands: Singuladerm, OneGen / 0.1 and Skin Method."
1056,Procare Health,"CASTELLDEFELS, Barcelona",Pharma,Other,"Genitourinary system; Musculoskeletal system, connective tissue","Procare Health is a pharmaceutical company which focused on the area of ​​Welfare and Women's Health.The company's products include Palomacare, Libicare, Palmocare, Idracare, Ladyflor, etc. Procare Health is a spin-off of Procter &amp; Gamble (P&amp;G)."
1057,ProCareLight,"CASTELLDEFELS, Barcelona",Professional Services and Consulting,Operations/Health &amp; safety/Purchasing,,"ProCareLight (spin-off of Institut de Ciències Fotòniques (ICFO)) is specialised in the provision of laser and intense light safety services and products for: Industry, Research institutes &amp; Universities, hospitals, laser eye clinics, dental clinics, cosmetic clinics, illumination and entertainment industry."
1058,Proclinic,"Hospitalet de Llobregat,l', Barcelona",Supplier &amp; Engineering,Distributors; Instrumentation; Laboratory equipment; Laboratory consumables and reagents,,"Proclinic is the integral service provider for the dental sector. The Company offers biomaterials, cements, radiography, endodontics, implant prosthesis, acryclic teeth, polishers, modeling consumables, needles and resuscitation, composite systems, and other related products."
